494: Bo Li 0001, weight = 79142
495: Ramesh Jain, weight = 79002
496: Manish Gupta, weight = 78948
497: Yuan Gao, weight = 78943
498: Meng Zhang, weight = 78860
499: Gang Hua, weight = 78818
500: Qiang Huang, weight = 78751
501: Song Wang, weight = 78723
502: Lei Wu, weight = 78622
503: Ling Shao, weight = 78545
504: Qinghua Zheng, weight = 78459
505: Jeffrey S. Vetter, weight = 78441
506: Daniel Rueckert, weight = 78333
507: Meikang Qiu, weight = 78163
508: Yan Zhao, weight = 78031
509: Yan Yang, weight = 77961
510: Xiaolong Wang, weight = 77901
511: Lionel M. Ni, weight = 77820
512: Xiaoou Tang, weight = 77665
513: Weimin Zheng, weight = 77449
514: Guanrong Chen, weight = 77434
515: Jianping Wang, weight = 77210
516: Heng Tao Shen, weight = 77009
517: Nassir Navab, weight = 76893
518: Zhao Zhang, weight = 76777
519: Ning Liu, weight = 76724
520: Long Wang, weight = 76717
521: Kai Zheng, weight = 76663
522: Jiandong Li, weight = 76654
523: Bo Zhao, weight = 76470
524: Yang Cao, weight = 76386
525: David Maier, weight = 76279
526: Lei Xu, weight = 76238
527: Xiao Zhang, weight = 76227
528: Jian Xu, weight = 76210
529: Tieniu Tan, weight = 76205
530: Hua Chen, weight = 76176
531: Wei Tan, weight = 76095
532: Yueting Zhuang, weight = 76077
533: Ming Lei, weight = 76034
534: Jian Cheng, weight = 76027
535: Jian Sun, weight = 76026
536: Haizhou Li, weight = 76016
537: Wenwu Zhu 0001, weight = 75880
538: Lei He, weight = 75855
539: Jing Yang, weight = 75629
540: Yuan Zhou, weight = 75613
541: Fei Wu, weight = 75543
542: Tao Jiang, weight = 75427
543: Zhongzhi Shi, weight = 75396
544: Tao Wu, weight = 75310
545: Weijia Jia, weight = 75263
546: Jin Huang, weight = 75055
547: Wenjun Zhang 0001, weight = 75025
548: Nicu Sebe, weight = 74974
549: Jian Yu, weight = 74904
550: Ling Zhang, weight = 74753
551: Yi Ma, weight = 74750
552: Xu Chen, weight = 74707
553: Yi Zhou, weight = 74680
554: Hong Zhu, weight = 74653
555: Zhi Wang, weight = 74630
556: Marc Snir, weight = 74413
557: Dan Chen, weight = 74132
558: Xing Li, weight = 73937
559: Yu Li, weight = 73880
560: Yi Zhao, weight = 73854
561: Jiming Chen, weight = 73708
562: He Huang, weight = 73604
563: Bo Wu, weight = 73538
564: Qiang Chen, weight = 73532
565: Long Chen, weight = 73382
566: Nanning Zheng, weight = 73375
567: Yue Wu, weight = 73329
568: Huazhong Yang, weight = 73273
569: Yong Shi, weight = 73140
570: H. V. Jagadish, weight = 73139
571: Enhong Chen, weight = 73046
572: Liang Liu, weight = 72993
573: Geoffrey Fox, weight = 72950
574: Li Shen, weight = 72914
575: Hong Cheng, weight = 72903
576: Ping Zhang, weight = 72887
577: Nan Wang, weight = 72775
578: Gerhard Weikum, weight = 72751
579: Yan Gao, weight = 72636
580: Ying Xu, weight = 72585
581: Kun Zhang, weight = 72516
582: Damian Smedley, weight = 72494
583: Wei Shi, weight = 72491
584: Yi Qian, weight = 72475
585: Ye Wang, weight = 72415
586: Lin Ma, weight = 72407
587: Li Zhou, weight = 72376
588: Peng Cheng, weight = 72340
589: Zhiyong Feng, weight = 72319
590: Fei Gao, weight = 72246
591: Chun Zhang, weight = 72211
592: Ajith Abraham, weight = 71975
593: Ming Zhao, weight = 71906
594: Jieping Ye, weight = 71864
595: Liu Yang, weight = 71766
596: Zhi-Hua Zhou, weight = 71679
597: Sébastien Ourselin, weight = 71592
598: Qin Li, weight = 71552
599: Sheng Wang, weight = 71367
600: Xiang Wang, weight = 71355
601: Liusheng Huang, weight = 71348
602: Yanchun Zhang, weight = 71317
603: Lei Zhang 0001, weight = 71254
604: Yi Huang, weight = 71121
605: Erik D. Demaine, weight = 71083
606: Xin Yao, weight = 70864
607: Bin Zhao, weight = 70764
608: Zhi Liu, weight = 70623
609: Donald F. Towsley, weight = 70528
610: Wei Song, weight = 70508
611: Shiqiang Yang, weight = 70463
612: Zhong Chen, weight = 70455
613: Hao Yang, weight = 70410
614: Raghu Ramakrishnan, weight = 70382
615: Bin Hu, weight = 70327
616: Xiang-Gen Xia, weight = 70301
617: Yun Liu, weight = 70292
618: Ying Wu, weight = 70245
619: Nenghai Yu, weight = 70138
620: Tao Sun, weight = 70090
621: et al., weight = 70058
622: Rong Zhang, weight = 70020
623: Jing He, weight = 69978
624: Hua Xu, weight = 69790
625: Yang Zhou, weight = 69783
626: Michael J. Franklin, weight = 69729
627: Wei Peng, weight = 69708
628: Ming Xu, weight = 69595
629: Chau Yuen, weight = 69551
630: Satoshi Matsuoka, weight = 69496
631: Ge Yu, weight = 69448
632: Xiaofeng Wang, weight = 69446
633: Mateo Valero, weight = 69282
634: Amit P. Sheth, weight = 69219
635: Yang Lu, weight = 69192
636: Jing Wu, weight = 69100
637: Yong Tang, weight = 69085
638: Wei He, weight = 69052
639: Alejandro F. Frangi, weight = 69039
640: Li Jiang, weight = 69001
641: Alan F. Smeaton, weight = 68975
642: Peng Cui, weight = 68929
643: Han-Chieh Chao, weight = 68923
644: Stefano Ceri, weight = 68908
645: Shan Wang, weight = 68881
646: Longbing Cao, weight = 68686
647: Yuan Yao, weight = 68655
648: Yan Ma, weight = 68653
649: Jiang Li, weight = 68647
650: Tarek F. Abdelzaher, weight = 68619
651: Hao Jiang, weight = 68519
652: John Mylopoulos, weight = 68328
653: Hui Tian, weight = 68304
654: Zhe Chen, weight = 68291
655: Dacheng Yang, weight = 68234
656: Xi Wang, weight = 68165
657: Xiaobo Zhou, weight = 68161
658: Song Guo, weight = 68061
659: Christian S. Jensen, weight = 67948
660: Yuan Yan Tang, weight = 67892
661: Tim J. P. Hubbard, weight = 67789
662: Qingshan Liu, weight = 67787
663: Xuemin (Sherman) Shen, weight = 67666
664: Jun Sun, weight = 67630
665: Samuel Madden, weight = 67597
666: Ji-Rong Wen, weight = 67571
667: Ping Chen, weight = 67530
668: Michael R. Lyu, weight = 67505
669: Manish Parashar, weight = 67358
670: Jason Cong, weight = 67355
671: Geyong Min, weight = 67326
672: Fan Li, weight = 67222
673: Jun Zheng, weight = 67183
674: Tao Zhou, weight = 67165
675: Ke Lu, weight = 67158
676: Haibing Guan, weight = 67089
677: Min-You Wu, weight = 67029
678: Jun Huang, weight = 66712
679: Joel H. Saltz, weight = 66710
680: Alon Y. Halevy, weight = 66709
681: Joseph M. Hellerstein, weight = 66707
682: Xinbo Gao, weight = 66691
683: Peter H. Beckman, weight = 66641
684: Hai Wang, weight = 66615
685: Rong Jin, weight = 66606
686: Xiangyang Xue, weight = 66599
687: Tao Xie, weight = 66598
688: Wei Dai, weight = 66561
689: Xiaoming Chen, weight = 66466
690: Bin Luo, weight = 66430
691: Jing Gao, weight = 66429
692: Ming Zhou, weight = 66412
693: Guojun Wang, weight = 66372
694: Jian Lu, weight = 66370
695: Steffen Staab, weight = 66366
696: Luc J. Van Gool, weight = 66360
697: Jon Crowcroft, weight = 66340
698: Michael E. Papka, weight = 66305
699: Jianping Wu, weight = 66288
700: Feng Xia, weight = 66204
701: Huan Wang, weight = 66181
702: Juan Wang, weight = 66090
703: Xuan Wang, weight = 66021
704: Jin Xu, weight = 66002
705: Fan Wu, weight = 65945
706: Kang Li, weight = 65944
707: Daniel A. Reed, weight = 65842
708: Jian Zhou, weight = 65823
709: Lei Yu, weight = 65796
710: Jin Chen, weight = 65706
711: Yannis E. Ioannidis, weight = 65575
712: Shi Jin, weight = 65566
713: D. Louis Collins, weight = 65485
714: Jin Yang, weight = 65476
715: Shaojie Tang, weight = 65306
716: Jingdong Wang, weight = 65253
717: Houqiang Li, weight = 65219
718: Xiaoli Li, weight = 65200
719: Ernesto Damiani, weight = 65082
720: He Li, weight = 64952
721: Dennis Gannon, weight = 64926
722: Wei Zeng, weight = 64922
723: Jun Xiao, weight = 64884
724: Jie Yang 0002, weight = 64771
725: Xingwei Wang, weight = 64697
726: Zheng Liu, weight = 64666
727: Hongyuan Zha, weight = 64618
728: Peng Gao, weight = 64492
729: Xiaodong Liu, weight = 64468
730: Ying Zhu, weight = 64437
731: Rajeev Thakur, weight = 64409
732: José E. Moreira, weight = 64373
733: Jintao Li, weight = 64312
734: Cathy H. Wu, weight = 64294
735: Chengqi Zhang, weight = 64201
736: Dan Wu, weight = 64192
737: Hui Lin, weight = 64166
738: Tao Yu, weight = 64164
739: Yong Yang, weight = 64077
740: Yu Hu, weight = 64005
741: Sébastien Marcel, weight = 63992
742: Bo Sun, weight = 63950
743: Yi Zheng, weight = 63885
744: Tao Xu, weight = 63824
745: Dapeng Wu, weight = 63789
746: Feng Pan, weight = 63788
747: Yi Guo, weight = 63779
748: Xiao Li, weight = 63774
749: Wei Cheng, weight = 63759
750: Zhengyou Zhang, weight = 63713
751: Li Ma, weight = 63670
752: Jie Yu, weight = 63644
753: Xin Huang, weight = 63608
754: Calton Pu, weight = 63561
755: Ang Li, weight = 63440
756: Ying Yang, weight = 63424
757: Michael I. Jordan, weight = 63410
758: Klara Nahrstedt, weight = 63401
759: Zhiwei Xu, weight = 63381
760: Hong Shen, weight = 63378
761: Rakesh Agrawal, weight = 63301
762: C.-C. Jay Kuo, weight = 63238
763: Xiqi Gao, weight = 63232
764: Changshui Zhang, weight = 63081
765: Yuan He, weight = 63068
766: Jing Jiang, weight = 63057
767: Bin Jiang, weight = 63000
768: Jian Cao, weight = 62940
769: Wei Dong, weight = 62918
770: Qin Zhang, weight = 62837
771: Honggang Zhang, weight = 62753
772: Zhen Yang, weight = 62743
773: Ying Huang, weight = 62736
774: Gang Xu, weight = 62695
775: Yi Jiang, weight = 62664
776: William Spooner, weight = 62641
777: Xilin Chen, weight = 62617
778: Qian Chen, weight = 62589
779: Daniel Lawson, weight = 62574
780: Di Wang, weight = 62560
781: Hao Hu, weight = 62550
782: Hao Xu, weight = 62489
783: Jie Hu, weight = 62410
784: Feifei Gao, weight = 62396
785: Pavan Balaji, weight = 62338
786: Jesús Labarta, weight = 62302
787: Shuai Li, weight = 62214
788: Gareth J. F. Jones, weight = 62196
789: Jun Cheng, weight = 62068
790: Ke Liu, weight = 61981
791: Rajkumar Buyya, weight = 61943
792: Qiang Zhou, weight = 61908
793: C. Lee Giles, weight = 61886
794: Daniel A. Keim, weight = 61861
795: Andreas F. Molisch, weight = 61796
796: Chen Zhao, weight = 61714
797: Edward A. Fox, weight = 61706
798: Bo Jiang, weight = 61681
799: Yue Li, weight = 61536
800: Edwin Hsing-Mean Sha, weight = 61483
801: Zhi Chen, weight = 61478
802: Zhuo Chen, weight = 61437
803: Hongbo Liu, weight = 61391
804: Hong Mei, weight = 61374
805: Li Sun, weight = 61326
806: Daqing Zhang, weight = 61282
807: Zhihua Wang, weight = 61277
808: Hongyan Li, weight = 61274
809: Yu Sun, weight = 61233
810: Shaoqian Li, weight = 61194
811: Fuchun Sun, weight = 61153
812: Feng Zhou, weight = 61130
813: Stephen T. C. Wong, weight = 61117
814: Jun Han, weight = 61040
815: Chen Xu, weight = 60921
816: Gang Feng, weight = 60914
817: Henning Hermjakob, weight = 60805
818: Michael Stonebraker, weight = 60799
819: Mérouane Debbah, weight = 60704
820: Fang Chen, weight = 60690
821: Wei Han, weight = 60681
822: Xiaofei Liao, weight = 60676
823: Lei Zhang 0006, weight = 60467
824: Wen Zhang, weight = 60438
825: Charu C. Aggarwal, weight = 60357
826: Hong Yu, weight = 60349
827: Larry S. Davis, weight = 60333
828: Rui Guo, weight = 60270
